,sentence1,sentence21,sentence22,pronoun,referent1,wrong_referent1,referent2,wrong_referent2
0,The precise sniper neutralized the terrorist,He was a veteran marksman,He was a talented sharpshooter,He,sniper,terrorist,sniper,terrorist
1,The storm impacted the international flight,It was full of passengers,It was bringing high winds,It,flight,storm,storm,flight
2,The sniper assassinated the terrorist,He was a brutal human rights violator,He was a accurate shooter,He,terrorist,sniper,sniper,terrorist
3,The sniper assassinated the terrorist,He was a precise marksman,He was a dangerous dictator,He,sniper,terrorist,terrorist,sniper
4,The sniper took out the terrorist,He was a brutal dealer,He was a brutal human trafficker,He,terrorist,sniper,terrorist,sniper
5,The storm shattered the scheduled flight,It was creating dangerous conditions,It was putting lives in peril,It,storm,flight,storm,flight
6,The sniper targeted the terrorist,He was a ruthless killer,He was a ruthless warlord,He,terrorist,sniper,terrorist,sniper
7,The sniper assassinated the terrorist,He was a resourceful marksman,He was a resourceful killer,He,sniper,terrorist,sniper,terrorist
8,The storm battered the scheduled flight,It was putting lives in peril,It was producing tornadoes,It,storm,flight,storm,flight
9,The sniper took down the terrorist,He was a accurate shooter,He was a brutal insurgent,He,sniper,terrorist,terrorist,sniper
10,The sniper eliminated the terrorist,He was a dangerous launderer,He was a notorious cyber criminal,He,terrorist,sniper,terrorist,sniper
11,The sniper executed the terrorist,He was a dangerous killer,He was a dangerous combatant,He,terrorist,sniper,terrorist,sniper
12,The storm postponed the morning flight,It was full of passengers,It was putting travelers in danger,It,flight,storm,storm,flight
13,The sniper eliminated the terrorist,He was a dangerous arms dealer,He was a winning assassin,He,terrorist,sniper,sniper,terrorist
14,The sniper assassinated the terrorist,He was a brutal killer,He was a resourceful assassin,He,terrorist,sniper,sniper,terrorist
15,The accurate sniper assassinated the terrorist,He was a successful sharpshooter,He was a top assassin,He,sniper,terrorist,sniper,terrorist
16,The sniper took aim the terrorist,He was a precise killer,He was a notorious murderer,He,sniper,terrorist,terrorist,sniper
17,The sniper targeted the terrorist,He was a notorious criminal,He was a accurate shooter,He,terrorist,sniper,sniper,terrorist
18,The sniper took aim the terrorist,He was a ruthless war criminal,He was a brutal warmonger,He,terrorist,sniper,terrorist,sniper
19,The accurate sniper neutralized the terrorist,He was a successful killer,He was a top marksman,He,sniper,terrorist,sniper,terrorist
20,The sniper executed the terrorist,He was a winning marksman,He was a resourceful marksman,He,sniper,terrorist,sniper,terrorist
21,The sniper eliminated the terrorist,He was a ruthless cyber criminal,He was a precise shooter,He,terrorist,sniper,sniper,terrorist
22,The sniper targeted the terrorist,He was a precise sharpshooter,He was a resourceful marksman,He,sniper,terrorist,sniper,terrorist
23,The sniper assassinated the terrorist,He was a resourceful sharpshooter,He was a notorious human rights violator,He,sniper,terrorist,terrorist,sniper
24,The students learned from the books,They were beautifully written,They were pushing themselves to succeed,They,books,students,students,books
25,The sniper took out the dangerous terrorist,He was a bad warlord,He was a barbaric warlord,He,terrorist,sniper,terrorist,sniper
26,The sniper eliminated the terrorist,He was a brutal assassin,He was a dangerous dealer,He,terrorist,sniper,terrorist,sniper
27,The sniper took out the terrorist,He was a dangerous combatant,He was a dangerous dealer,He,terrorist,sniper,terrorist,sniper
28,The sniper took aim the terrorist,He was a brutal cyber criminal,He was a dangerous murderer,He,terrorist,sniper,terrorist,sniper
29,The sniper eliminated the terrorist,He was a dangerous arms dealer,He was a resourceful assassin,He,terrorist,sniper,sniper,terrorist
30,The sniper took aim the terrorist,He was a dangerous money launderer,He was a brutal human rights abuser,He,terrorist,sniper,terrorist,sniper
31,The sniper eliminated the terrorist,He was a dangerous dealer,He was a ruthless cyber criminal,He,terrorist,sniper,terrorist,sniper
32,The knife severed the fence carefully,It was stuck for a moment,It was a durable tool,It,knife,fence,knife,fence
33,The bee hovered near the flower,It was collecting food,It was producing pollen,It,bee,flower,flower,bee
34,The heart pumped blood with determination,It was a enthusiastic organ,It was a sturdy muscle,It,heart,blood,heart,blood
35,The creative heart moved blood with assurance,It was a driven muscle,It was a well-functioning organ,It,heart,blood,heart,blood
36,The sniper eliminated the terrorist,He was a brutal militant,He was a notorious killer,He,terrorist,sniper,terrorist,sniper
37,The sailors jumped off the boats,They were malfunctioning,They were breaking down,They,boats,sailors,boats,sailors
38,The sniper took down the terrorist,He was a precise assassin,He was a precise sharpshooter,He,sniper,terrorist,sniper,terrorist
39,The winning sniper fired the terrorist,He was a veteran assassin,He was a top sharpshooter,He,sniper,terrorist,sniper,terrorist
40,The sniper neutralized the terrorist,He was a notorious cyber criminal,He was a ruthless killer,He,terrorist,sniper,terrorist,sniper
41,The precise sniper targeted the terrorist,He was a talented sharpshooter,He was a brutal dictator,He,sniper,terrorist,terrorist,sniper
42,The sniper neutralized the terrorist,He was a notorious guy,He was a ruthless human rights violator,He,terrorist,sniper,terrorist,sniper
43,The sniper took down the terrorist,He was a notorious human rights abuser,He was a winning marksman,He,terrorist,sniper,sniper,terrorist
44,The birds worked hard for the seeds,They were a new experience,They were flying to new destinations,They,seeds,birds,birds,seeds
45,The sniper took out the terrorist,He was a notorious human rights abuser,He was a brutal bomber,He,terrorist,sniper,terrorist,sniper
46,The sniper took down the terrorist,He was a winning sharpshooter,He was a brutal arms dealer,He,sniper,terrorist,terrorist,sniper
47,The storm interrupted the flight,It was bringing high winds,It was flying to Hawaii,It,storm,flight,flight,storm
48,The sniper executed the terrorist,He was a precise assassin,He was a resourceful sharpshooter,He,sniper,terrorist,sniper,terrorist
49,The precise sniper targeted the terrorist,He was a veteran shooter,He was a veteran sharpshooter,He,sniper,terrorist,sniper,terrorist
50,The sniper fired the terrorist,He was a dangerous murderer,He was a brutal dictator,He,terrorist,sniper,terrorist,sniper
51,The bee perched on the flower,It was collecting food,It was supplying nectar,It,bee,flower,flower,bee
52,The winning sniper took aim the terrorist,He was a talented sharpshooter,He was a veteran assassin,He,sniper,terrorist,sniper,terrorist
53,The sniper executed the terrorist,He was a brutal war criminal,He was a resourceful sharpshooter,He,terrorist,sniper,sniper,terrorist
54,The sniper neutralized the terrorist,He was a notorious combatant,He was a notorious arms dealer,He,terrorist,sniper,terrorist,sniper
55,The serrated knife sliced through the fence easily,It was weathered and corroded,It was old and decrepit,It,fence,knife,fence,knife
56,The sniper neutralized the notorious terrorist,He was a bad drug lord,He was a winning killer,He,terrorist,sniper,sniper,terrorist
57,The heart pumped blood that sustained life,It was a revitalizing liquid,It was a invigorating fluid,It,blood,heart,blood,heart
58,The sniper fired the terrorist,He was a accurate killer,He was a precise killer,He,sniper,terrorist,sniper,terrorist
59,The sniper executed the terrorist,He was a brutal guy,He was a brutal human rights violator,He,terrorist,sniper,terrorist,sniper
60,The storm overwhelmed the international flight,It was carrying essential supplies,It was headed for Europe,It,flight,storm,flight,storm
