,Sentence,CF,SF,CbD,DI,Violation,PrDist
0,The knife scraped the school fence rapidly. It was enclosing the private property.,0.362904802641004,0.36290480281657556,-3.037607531854899,1.7566190459150586,1.157778503102711,"[[0.19350206 0.33711201 0.26086205 0.20852387]
 [0.13734276 0.39327132 0.07523893 0.394147  ]
 [0.2107891  0.36469738 0.24357501 0.1809385 ]
 [0.08314932 0.49233717 0.12943237 0.29508114]]"
1,The resourceful sailors escaped off the boats. They were suffering structural damage.,0.7011871306903443,0.7011871306436721,-4.153949594070775,2.804748522761979,1.3110594648938136,"[[0.13138954 0.02234072 0.72352785 0.12274189]
 [0.06654274 0.08718752 0.34300878 0.50326096]
 [0.42117121 0.06689325 0.43374618 0.07818936]
 [0.20399129 0.28407316 0.20556022 0.30637532]]"
2,The storm caused a delay for the morning flight. It was producing tornadoes.,0.3200414856494984,0.3200414849142388,-2.9214666970667893,1.2801659428430885,1.3039725590068985,"[[0.25158723 0.19693197 0.29863223 0.25284857]
 [0.36309395 0.08542525 0.40546674 0.14601406]
 [0.40267826 0.29238222 0.1475412  0.15739832]
 [0.53911099 0.15594948 0.22944969 0.07548983]]"
3,The lively birds chirped and ate the seeds. They were a sweet treat.,0.40884374433766213,0.40884374433842363,-2.177442849037077,1.7822183620452114,1.1140000584897503,"[[0.58993069 0.18603632 0.14932547 0.07470751]
 [0.5470728  0.22889421 0.01853571 0.20549728]
 [0.13761863 0.19279379 0.60163753 0.06795005]
 [0.24338454 0.08702788 0.32222397 0.34736361]]"
4,The sniper took aim the ruthless terrorist. He was a barbaric bomb maker.,0.6409453270138934,0.64094532703963,-3.731966960223102,2.563781308178544,1.3254033209100533,"[[0.45528974 0.11443915 0.34362963 0.08664148]
 [0.10952097 0.46020792 0.08281275 0.34745835]
 [0.12593508 0.03203897 0.6729843  0.16904166]
 [0.03005112 0.12792293 0.16228261 0.67974334]]"
5,The storm disrupted the commercial flight. It was causing flash floods.,0.6608049858825358,0.66080498589938,-4.018206298207037,2.6432199435983987,1.3988970441828594,"[[0.26075631 0.1882176  0.24796386 0.30306223]
 [0.14083243 0.30814148 0.16265136 0.38837473]
 [0.50050477 0.463784   0.0082154  0.02749583]
 [0.28814602 0.67614275 0.01533777 0.02037346]]"
6,The bold sailors dove off the boats. They were not sturdy.,0.8437453166198824,0.8437453173659766,-4.401276476590301,3.374981266479529,1.384140640122769,"[[0.04897781 0.04591874 0.32770304 0.5774004 ]
 [0.09354111 0.00135544 0.84510076 0.06000269]
 [0.17955031 0.28228222 0.19713054 0.34103693]
 [0.43293459 0.02889794 0.50570728 0.03246019]]"
7,The winning sniper killed the dangerous terrorist. He was a barbaric dictator.,0.626906806134699,0.6269068061416811,-3.7471215893162837,2.507627224606598,1.3091655619380411,"[[0.19670394 0.05642931 0.59444167 0.15242509]
 [0.04497866 0.20815459 0.14207515 0.6047916 ]
 [0.64046471 0.1734959  0.15068089 0.03535849]
 [0.14884277 0.66511785 0.03821104 0.14782834]]"
8,The hardworking bee gathered pollen from the lovely flower. It was generating pollen.,0.791641510287843,0.7916415102727089,-5.948540685323829,5.38047559381927,1.2092887134484291,"[[0.05719209 0.03320051 0.82484202 0.08476537]
 [0.08588701 0.0045056  0.79415043 0.11545697]
 [0.27239786 0.05416219 0.60963625 0.0638037 ]
 [0.30103397 0.02552608 0.57900347 0.09443648]]"
9,The sailors abandoned the ill-designed boats. They were navigating poorly.,0.6506721530590918,0.6506721530616415,-3.6151004303240972,2.592500870229302,1.3228137794700352,"[[0.08941802 0.6760821  0.02795689 0.20654299]
 [0.55777565 0.20772448 0.17165272 0.06284716]
 [0.01958136 0.14952442 0.09779354 0.73310067]
 [0.12296608 0.04613971 0.60646229 0.22443193]]"
10,The hardworking bee gathered pollen from the intricate flower. It was a treasure.,0.5167417550011744,0.5167417526219662,-3.9294529485148084,2.4899283363694193,1.3715411029589175,"[[0.24458619 0.04369881 0.56044057 0.15127442]
 [0.06548974 0.22279527 0.11705494 0.59466005]
 [0.46385309 0.10686298 0.34117368 0.08811026]
 [0.10862296 0.46209311 0.07392172 0.35536221]]"
11,The brave students learned from the stimulating books. They were convincing.,0.6340389804792982,0.6340389804817039,-3.4669720890723106,2.479856498922403,1.3216791224091087,"[[0.04764044 0.38838822 0.0637696  0.50020173]
 [0.31054376 0.1254849  0.40434141 0.15962992]
 [0.01074694 0.08417411 0.10066311 0.80441584]
 [0.06827133 0.02664972 0.64661384 0.25846511]]"
12,The sailors left the navy boats. They were facing the storm.,0.6515230195521364,0.6515230198081765,-4.501556304342971,3.367096049117698,1.3418763609722095,"[[0.12176436 0.02485696 0.67333871 0.18003997]
 [0.05216372 0.09445759 0.28470859 0.56867009]
 [0.11040493 0.03317512 0.68469814 0.17172181]
 [0.04229262 0.10128743 0.29457969 0.56184026]]"
13,The serrated knife scraped the old fence surrounding the garden. It was a separating the yards.,0.4977384798242659,0.49773847982188935,-4.740286330199998,3.095627199434865,1.3283932715023017,"[[0.31373237 0.0510146  0.54875308 0.08649994]
 [0.26885013 0.09589685 0.47775123 0.1575018 ]
 [0.40860221 0.06183082 0.45388324 0.07568372]
 [0.34853282 0.12190021 0.39806853 0.13149844]]"
14,The activist people held a vigil against the government. They were demanding a voice.,0.6588681125045988,0.6588681124915552,-3.759653518063293,2.635472450018395,1.3271699001057438,"[[0.27279525 0.51066688 0.07376688 0.142771  ]
 [0.0980304  0.68543173 0.02656362 0.18997426]
 [0.0737965  0.13512321 0.27276562 0.51831467]
 [0.02587521 0.1830445  0.0987188  0.69236149]]"
15,The diligent birds pecked at the mouth-watering seeds. They were a filling food.,0.6112711980852723,0.6112711980773982,-3.7169238519078327,2.466741472867338,1.3237242618233824,"[[0.11041423 0.04729812 0.65856931 0.18371834]
 [0.02761545 0.1300969  0.24599279 0.59629486]
 [0.58672055 0.18767716 0.18226299 0.04333929]
 [0.19255705 0.58184066 0.08105118 0.1445511 ]]"
16,The police chased the criminals for hours. They were notorious and dangerous.,0.6032819511273422,0.6032819511664231,-3.717832287655922,2.464534862452474,1.344631317196368,"[[0.61571282 0.1432899  0.1880248  0.05297249]
 [0.14752066 0.61148205 0.04008324 0.20091405]
 [0.63554854 0.15533731 0.16818908 0.04092507]
 [0.14936605 0.6415198  0.03823785 0.1708763 ]]"
17,The sniper took out the terrorist. He was a ruthless assassin.,0.614827046807374,0.6148270455525396,-3.699434022393362,2.4593081873901816,1.3219788008916087,"[[0.62728624 0.16536283 0.16508322 0.04226771]
 [0.14013981 0.65250926 0.03768222 0.16966871]
 [0.62802822 0.16392376 0.16434123 0.04370679]
 [0.14110473 0.65084725 0.03671729 0.17133073]]"
18,The monstrous storm destroyed the flight. It was bringing high winds.,0.78366859441637,0.7836685928313469,-5.07384872026224,4.036670772840572,1.3388751519351603,"[[0.02230597 0.78719807 0.00352947 0.18696649]
 [0.19408795 0.61541609 0.05014672 0.14034924]
 [0.01352044 0.45621333 0.01231501 0.51795123]
 [0.11015971 0.35957405 0.13407495 0.39619128]]"
19,The treacherous storm cancelled the flight. It was flying to Hawaii.,0.7517442377768293,0.7517442377702233,-2.9681215523090834,2.4555507258844353,1.4102063331052455,"[[0.38521064 0.07028801 0.51791761 0.02658374]
 [0.10231473 0.35318393 0.23472831 0.30977304]
 [0.85996427 0.09096645 0.04316398 0.00590531]
 [0.2931233  0.65780742 0.04391974 0.00514954]]"
20,The diligent birds tried the tall seeds. They were fearless.,0.9086945218328832,0.9086945218326119,-4.435064991904601,3.634778087331532,1.4365324164868227,"[[0.24145075 0.24071655 0.17749614 0.34033655]
 [0.4574579  0.02470941 0.47090262 0.04693008]
 [0.01843934 0.00122665 0.40050756 0.57982645]
 [0.01630552 0.00336047 0.912055   0.06827901]]"
21,The imaginative bee buzzed around the sweet flower. It was abundant with pollen.,0.22834019129723893,0.22834019133815586,-2.1461332342701067,0.9133607664457105,1.3915461294457743,"[[0.33863952 0.08050542 0.30884561 0.27200945]
 [0.23662941 0.18251553 0.18267193 0.39818313]
 [0.35786546 0.22380012 0.28961967 0.12871475]
 [0.3128497  0.26881589 0.10645164 0.31188277]]"
22,The diligent birds chose the overlooked seeds. They were a quick snack.,0.7246785259581316,0.724678525957454,-2.2207559237073378,1.90136252086111,1.643644068728855,"[[0.89618591 0.01492389 0.03326365 0.05562655]
 [0.43996643 0.47114337 0.08128839 0.0076018 ]
 [0.39555074 0.05855819 0.53389882 0.01199225]
 [0.11588084 0.33822809 0.40537398 0.14051709]]"
23,The sniper assassinated the notorious terrorist. He was a precise marksman.,0.5677170462306176,0.5677170461721006,-3.8746469297964756,2.5349118868940304,1.31207569512716,"[[0.16221383 0.05022057 0.61407514 0.17349045]
 [0.05887638 0.15355803 0.21956895 0.56799664]
 [0.16407539 0.04449654 0.61221358 0.17921449]
 [0.06150847 0.14706346 0.21693687 0.5744912 ]]"
24,The sharp knife scratched the fence effortlessly. It was weak and unstable.,0.6104046532432925,0.610404653053053,-2.9568542698081743,2.441618612975003,1.5526854103495675,"[[0.59309744 0.08484483 0.15026289 0.17179484]
 [0.19035494 0.48758733 0.00798568 0.31407205]
 [0.13035936 0.00259632 0.61300097 0.25404336]
 [0.09438095 0.03857472 0.10395967 0.76308465]]"
25,The storm devastated the commercial flight. It was putting lives in peril.,0.3229345332719076,0.32293453327172217,-2.0304453818713224,1.2917381330882054,1.3195276204028126,"[[0.62901636 0.30474359 0.04470554 0.02153451]
 [0.90457893 0.02918102 0.06288288 0.00335718]
 [0.43993142 0.20459585 0.23379048 0.12168225]
 [0.62288107 0.0216462  0.34458074 0.01089199]]"
26,The chirpy birds foraged for the seeds. They were seeking new experiences.,0.8767380021767794,0.8767380021767646,-6.258910470757486,5.590077930750717,1.416469947272558,"[[0.22381325 0.0194469  0.71316489 0.04357496]
 [0.14079752 0.10246263 0.62324411 0.13349573]
 [0.04081289 0.01942725 0.89616526 0.0435946 ]
 [0.0405978  0.01964234 0.72344383 0.21631602]]"
27,The imaginative bee stopped at the pristine flower. It was collecting essential pollen.,0.21027169311444782,0.2102716933603488,-1.1661876499242412,0.8826806206290614,1.5313204228439659,"[[0.49763381 0.04313812 0.15894248 0.30028559]
 [0.38452839 0.15624354 0.166642   0.29258607]
 [0.58915599 0.1722861  0.0674203  0.17113761]
 [0.34484673 0.41659536 0.20632367 0.03223425]]"
28,The serrated knife scraped the construction fence surrounding the park. It was a rotten and weakened.,0.6664401189293818,0.6664401191049232,-3.344760308382338,2.665760476427191,1.4825896934710094,"[[0.71634762 0.19255459 0.08340978 0.00768801]
 [0.167096   0.74180621 0.07536609 0.0157317 ]
 [0.61622935 0.12664559 0.18352805 0.073597  ]
 [0.20740142 0.53547353 0.03506067 0.22206438]]"
29,The unwavering people led a protest against the government. They were embezzling public funds.,0.6615493705045243,0.661549370506957,-3.826665945618198,2.646197482054498,1.326612353801707,"[[0.07290143 0.11027732 0.33148193 0.48533931]
 [0.15217101 0.03100775 0.69255712 0.12426413]
 [0.31153726 0.46567367 0.09284611 0.12994297]
 [0.65393046 0.12328046 0.19079766 0.03199141]]"
30,The sailors jumped off the navy boats. They were ignoring the warnings.,0.6831623711619584,0.683162371163206,-3.531104881691455,2.732649484653838,1.334566595130635,"[[0.20319164 0.45528062 0.10931796 0.23220978]
 [0.56850907 0.08996319 0.305479   0.03604874]
 [0.31020203 0.68546994 0.00230757 0.00202046]
 [0.8713478  0.12432417 0.00264027 0.00168776]]"
31,The clever bee crawled on the flower. It was producing honey.,0.21139676197184587,0.21139676192948476,-2.5147809572426625,1.1981971800135567,1.3050046701573121,"[[0.65542043 0.07698912 0.23266013 0.03493031]
 [0.44611676 0.28629279 0.14241451 0.12517594]
 [0.59890034 0.085393   0.28918023 0.02652643]
 [0.40909336 0.27519998 0.17943791 0.13626875]]"
32,The active bee hovered above the flowering flower. It was an untouched paradise.,0.6512151154408565,0.6512151154040444,-3.420173591181268,2.406250648890539,1.342746586698197,"[[0.32317689 0.04215373 0.55919865 0.07547073]
 [0.10211527 0.26321536 0.17869761 0.45597176]
 [0.76675864 0.1041962  0.1156169  0.01342826]
 [0.24109072 0.62986412 0.03972216 0.089323  ]]"
33,The graceful birds foraged for the scattered seeds. They were a juicy delight.,0.6473029213831705,0.6473029215021822,-4.572691456777257,3.156652506821332,1.3490385998731729,"[[0.2239619  0.02078115 0.66808407 0.08717287]
 [0.13551827 0.10922478 0.42343466 0.33182228]
 [0.37538378 0.04170895 0.5166622  0.06624507]
 [0.24406519 0.17302754 0.31488775 0.26801952]]"
34,The bee hovered over the flower. It was full of pollen.,0.6125536955409099,0.6125536955301522,-3.34342708647776,2.450214782164807,1.1918692039017695,"[[0.15337075 0.13878461 0.5556625  0.15218213]
 [0.2558948  0.03626056 0.64881426 0.05903037]
 [0.58387722 0.26861872 0.12515603 0.02234803]
 [0.76865109 0.08384485 0.13605798 0.01144608]]"
35,The durable knife scratched the swimming fence with care. It was sharp and powerful.,0.6007673245279493,0.6007673231009558,-3.3631445786335603,2.4030692981117983,1.2386613270256683,"[[0.45079801 0.3015813  0.23852677 0.00909391]
 [0.03957274 0.71280658 0.11203925 0.13558143]
 [0.20560709 0.20144403 0.48371769 0.10923119]
 [0.01425492 0.3927962  0.13735707 0.45559181]]"
36,The storm obstructed the flight. It was carrying important documents.,0.45310106181938636,0.4531010618210045,-2.3347478794919385,1.812404247289336,1.2473830855197363,"[[0.04353208 0.26388403 0.52433026 0.16825364]
 [0.08531708 0.22209902 0.67520009 0.01738381]
 [0.34874809 0.26483399 0.21911424 0.16730368]
 [0.4717329  0.14184918 0.28878427 0.09763366]]"
37,The knife punctured the weak fence effortlessly. It was a precise tool.,0.597249743460645,0.5972497434278055,-3.577545827273309,2.474142577200218,1.3023185390024388,"[[0.68511103 0.12268012 0.16738069 0.02482815]
 [0.1849803  0.62281085 0.04897578 0.14323307]
 [0.25425077 0.05309551 0.59824095 0.09441276]
 [0.06303313 0.24431315 0.17092295 0.52173077]]"
38,The durable knife sliced through the fence smoothly. It was enclosing the prison yard.,0.6069557824610741,0.6069557824608928,-3.415483468782937,2.427823129845046,1.23294140446488,"[[0.02392885 0.1214374  0.28337289 0.57126085]
 [0.00962877 0.13573748 0.00376381 0.85086994]
 [0.17996137 0.440387   0.12734038 0.25231126]
 [0.00776608 0.61258229 0.00562651 0.37402513]]"
39,The people took to the streets against the government. They were risking their safety.,0.23192484105296418,0.23192484105571465,-2.417790443050011,1.2840619280944239,1.2968076303263287,"[[0.08909064 0.1748573  0.31856814 0.41748393]
 [0.00957683 0.2543711  0.07706646 0.6589856 ]
 [0.13658335 0.13394997 0.27107543 0.45839125]
 [0.01667495 0.25385837 0.06996835 0.65949833]]"
40,The adventurous students studied the books. They were struggling to stay awake.,0.5157096094293004,0.5157096094280257,-3.070679085757203,2.062838437718271,1.3203564053791617,"[[1.18376572e-02 1.34395511e-02 4.76443350e-01 4.98279441e-01]
 [2.29288741e-04 2.50479195e-02 1.49229967e-02 9.59799795e-01]
 [2.57041569e-01 2.73820326e-01 2.31239438e-01 2.37898667e-01]
 [7.51046129e-03 5.23351434e-01 7.64182417e-03 4.61496281e-01]]"
