,Unnamed: 0,Sentence,CF,SF,CbD,DI,Distribution,Entropy
0,0,The knife scraped the school fence rapidly. It was enclosing the private property.,0.3407477357403493,0.3407477357402306,-1.9731382945561935,1.5574330451605474,"[[8.09325411e-01 1.90673686e-01 7.36059461e-07 1.67698822e-07]
 [9.51387713e-01 4.86113828e-02 8.57244298e-07 4.65139850e-08]
 [4.94208166e-01 1.16432669e-01 3.15117980e-01 7.42411846e-02]
 [5.80956397e-01 2.96844382e-02 3.70432174e-01 1.89269911e-02]]",(0.266139591688+0j)
1,1,The resourceful sailors escaped off the boats. They were suffering structural damage.,0.675384526501668,0.6753845265018266,-5.190958047658416,3.903255170167368,"[[0.22044028 0.05512352 0.58935306 0.13508313]
 [0.26343535 0.01212846 0.68751298 0.03692321]
 [0.40948695 0.09987712 0.40030639 0.09032954]
 [0.48607972 0.02328436 0.46486862 0.02576731]]",(0.980033755957-0j)
2,2,The storm caused a delay for the morning flight. It was producing tornadoes.,0.1274282834416196,0.127428283431001,-1.1102722404662606,0.6317228523273137,"[[0.38112042 0.12864169 0.03825627 0.45198161]
 [0.24776662 0.26199549 0.23149306 0.25874483]
 [0.22317553 0.32362946 0.19620117 0.25699385]
 [0.46367293 0.08313205 0.01558675 0.43760826]]",(0.906593968919+0j)
3,3,The lively birds chirped and ate the seeds. They were a sweet treat.,0.6087228314923395,0.6087228314789228,-3.567293357421348,2.4348913259726688,"[[0.16090626 0.06505474 0.67377757 0.10026144]
 [0.0354641  0.19049689 0.19879821 0.5752408 ]
 [0.36817799 0.05255156 0.46650584 0.11276462]
 [0.12915552 0.29157403 0.10510679 0.47416366]]",(0.266870876439+0j)
4,4,The sniper took aim the ruthless terrorist. He was a barbaric bomb maker.,0.4548945305771545,0.4548945306075677,-3.512056485019945,2.34614906652381,"[[0.25089671 0.45649953 0.08394898 0.20865477]
 [0.16945431 0.53794194 0.08304741 0.20955635]
 [0.05328991 0.06756907 0.28155579 0.59758524]
 [0.0294955  0.09136347 0.22300621 0.65613481]]",(0.83552522574+0j)
5,5,The storm disrupted the commercial flight. It was causing flash floods.,0.7626684406950166,0.762668440896041,-3.800307611045023,3.0506737635841645,"[[0.49350801 0.31900648 0.12925392 0.05823158]
 [0.78560383 0.02691067 0.1845652  0.0029203 ]
 [0.11191783 0.09558276 0.5108441  0.28165531]
 [0.19784897 0.00965162 0.77232006 0.02017935]]",(0.925275307123-0j)
6,6,The bold sailors dove off the boats. They were not sturdy.,0.271248422367411,0.2712484224493422,-2.3622010667193627,1.4029985371170364,"[[0.08039295 0.29607208 0.1445896  0.47894537]
 [0.08196038 0.29450465 0.14548134 0.47805363]
 [0.00733127 0.01838413 0.21765128 0.75663332]
 [0.00445778 0.02125761 0.22298393 0.75130067]]",(0.029622091414-0j)
7,7,The winning sniper killed the dangerous terrorist. He was a barbaric dictator.,0.6005278007572336,0.6005278020071703,-3.4269223249944423,2.388022307843652,"[[0.01000272 0.61034354 0.01333797 0.36631578]
 [0.25501612 0.36533014 0.16476907 0.21488467]
 [0.00219244 0.1590544  0.02114824 0.81760491]
 [0.07410118 0.08714566 0.345684   0.49306915]]",(0.003940924066-0j)
8,8,The hardworking bee gathered pollen from the lovely flower. It was generating pollen.,0.4020748948171954,0.4020748947988999,-3.490216961443164,2.394993823635743,"[[0.50093357 0.06650825 0.26318181 0.16937637]
 [0.42991071 0.1375311  0.41212917 0.02042902]
 [0.30783098 0.13213401 0.4562844  0.10375062]
 [0.31900253 0.12096246 0.52303735 0.03699766]]",(0.041418184294-0j)
9,9,The sailors abandoned the ill-designed boats. They were navigating poorly.,0.5325732067316312,0.5325732067195932,-3.356609438253776,2.3287014906626036,"[[0.3061886  0.57596564 0.04339243 0.07445332]
 [0.82091365 0.06124059 0.11084276 0.007003  ]
 [0.20342747 0.39307522 0.14615357 0.25734374]
 [0.55312959 0.0433731  0.37862682 0.02487049]]",(0.010541514944+0j)
10,10,The hardworking bee gathered pollen from the intricate flower. It was a treasure.,0.36424897972589,0.3642489797895368,-2.088860885981008,1.6663223220142864,"[[0.07168745 0.35110459 0.11366693 0.46354103]
 [0.02874424 0.39404779 0.02979882 0.54740915]
 [0.00100822 0.00520324 0.18434616 0.80944238]
 [0.00105486 0.0051566  0.0574882  0.93630034]]",(0.004938314079-0j)
11,11,The brave students learned from the stimulating books. They were convincing.,0.432022180354664,0.4320221804131636,-3.734587568390059,2.3687730216091083,"[[0.14496247 0.34673734 0.14040817 0.36789201]
 [0.44224207 0.04945774 0.43532183 0.07297836]
 [0.17296485 0.54442797 0.11240579 0.17020138]
 [0.61357038 0.10382244 0.26399352 0.01861366]]",(0.00243929052-0j)
12,12,The sailors left the navy boats. They were facing the storm.,0.6810258766317798,0.6810258764793218,-4.063160618494447,2.724103506660242,"[[3.13732651e-01 2.91096313e-04 6.81316973e-01 4.65927953e-03]
 [1.85664641e-01 1.28359106e-01 4.06842326e-01 2.79133927e-01]
 [6.07768491e-01 2.83269130e-03 3.87281133e-01 2.11768454e-03]
 [3.49666191e-01 2.60934991e-01 2.42840775e-01 1.46558042e-01]]",(0.00048597213-0j)
13,13,The serrated knife scraped the old fence surrounding the garden. It was a separating the yards.,0.4745421840200463,0.4745421840209719,-2.4205915923412618,1.8981687360838888,"[[0.16378506 0.35111532 0.10025664 0.38484298]
 [0.01147242 0.50342796 0.02888578 0.45621384]
 [0.02231401 0.02444264 0.24172769 0.71151566]
 [0.00556598 0.04119067 0.03479221 0.91845114]]",(0.140009815473-0j)
14,14,The precision knife cut through the fence surrounding the property. It was separating the fields.,0.7357774522587379,0.7357774522535399,-4.315795957724756,3.322479381348573,"[[0.41182719 0.1890782  0.2839206  0.11517401]
 [0.44368112 0.15722427 0.34279452 0.05630008]
 [0.02912427 0.02157392 0.66662352 0.28267829]
 [0.02452478 0.02617341 0.76195086 0.18735095]]",(0.811706796005-0j)
15,15,The activist people held a vigil against the government. They were demanding a voice.,0.3390950179985328,0.3390950179981973,-2.972202183077371,1.3563800719949586,"[[0.09357555 0.42309221 0.08399719 0.39933505]
 [0.22013615 0.29653161 0.21584192 0.26749032]
 [0.05280679 0.22081105 0.12476595 0.60161621]
 [0.12098886 0.15262898 0.31498921 0.41139295]]",(0.48785995834+0j)
16,16,The diligent birds pecked at the mouth-watering seeds. They were a filling food.,0.5690320105143996,0.5690320105125912,-3.737919076587656,2.27612804208004,"[[0.30749962 0.03215083 0.60118284 0.05916672]
 [0.13219128 0.20745917 0.27507798 0.38527158]
 [0.59159045 0.05581225 0.317092   0.03550529]
 [0.26426701 0.38313569 0.14300224 0.20959505]]",(0.243636751899-0j)
17,17,The police chased the criminals for hours. They were notorious and dangerous.,0.5377519013658372,0.5377519013683995,-2.7593547670793948,2.151007605474075,"[[0.72690637 0.05594232 0.16602283 0.05112848]
 [0.27157291 0.51127578 0.09590184 0.12124946]
 [0.84695322 0.05827344 0.04597598 0.04879736]
 [0.34378239 0.56144427 0.02369237 0.07108097]]",(0.181286613385+0j)
18,18,The sniper took out the terrorist. He was a ruthless assassin.,0.5532122153548503,0.5532122153556569,-3.3106978893427046,2.09717462401002,"[[0.09576268 0.47493889 0.09220196 0.33709647]
 [0.17519204 0.39550953 0.21688321 0.21241522]
 [0.00661324 0.03979467 0.1813514  0.77224068]
 [0.00380786 0.04260006 0.38826739 0.5653247 ]]",(0.318048838599+0j)
19,19,The monstrous storm destroyed the flight. It was bringing high winds.,0.7556643197286073,0.7556643197175836,-5.431940408409645,4.795056454644096,"[[0.02941729 0.79294018 0.03727586 0.14036668]
 [0.30384288 0.51851458 0.01692816 0.16071438]
 [0.00237396 0.76149688 0.06431919 0.17180998]
 [0.26183661 0.50203423 0.05893443 0.17719473]]",(0.312079894682+0j)
20,20,The treacherous storm cancelled the flight. It was flying to Hawaii.,0.4630832627315717,0.4630832627323761,-3.295539067395508,2.1397104208990214,"[[0.19546539 0.21907593 0.29092027 0.29453841]
 [0.35245043 0.06209089 0.50841991 0.07703877]
 [0.45844324 0.49102569 0.02794242 0.02258865]
 [0.81647491 0.13299401 0.04439543 0.00613565]]",(0.983014510423+0j)
21,21,The diligent birds tried the tall seeds. They were fearless.,0.1985536797868452,0.1985536797936,-0.5611886483121071,0.909353945828156,"[[0.0453892  0.38449866 0.18594498 0.38416717]
 [0.29467983 0.13520803 0.00688275 0.5632294 ]
 [0.18928288 0.01326649 0.04205129 0.75539934]
 [0.15257976 0.04996961 0.14898282 0.64846781]]",(0.203598629616-0j)
22,22,The imaginative bee buzzed around the sweet flower. It was abundant with pollen.,0.2542399563378774,0.2542399563883968,-1.85911016886078,1.0417113377666796,"[[0.78481325 0.08324126 0.11688492 0.01506058]
 [0.75729094 0.11076357 0.11695144 0.01499405]
 [0.58612049 0.06133772 0.31557768 0.03696411]
 [0.56282171 0.0846365  0.31142067 0.04112112]]",(0.278884100025+0j)
23,23,The diligent birds chose the overlooked seeds. They were a quick snack.,0.4355375694087389,0.4355375694130416,-3.9818225480699816,2.4683100436005687,"[[0.56996211 0.10239114 0.28393108 0.04371568]
 [0.15445864 0.51789461 0.08235704 0.24528971]
 [0.54033335 0.09141004 0.31355984 0.05469677]
 [0.15142163 0.48032175 0.08539405 0.28286257]]",(0.169425323087-0j)
24,24,The sniper assassinated the notorious terrorist. He was a precise marksman.,0.6061331908080321,0.6061331907906677,-4.823923162158219,3.2682440715126693,"[[0.39043427 0.59356512 0.00635388 0.00964673]
 [0.37181384 0.61218555 0.00605236 0.00994825]
 [0.24111211 0.36660387 0.15567605 0.23660798]
 [0.22964935 0.37806662 0.14821684 0.24406718]]",(0.013846901103+0j)
25,25,The sharp knife scratched the fence effortlessly. It was weak and unstable.,0.7357495436232809,0.735749543613034,-5.400565950836745,4.546317297401915,"[[0.1785684  0.54874661 0.14791683 0.12476816]
 [0.08717918 0.64013582 0.11623296 0.15645203]
 [0.30681449 0.6323472  0.01967074 0.04116757]
 [0.18535623 0.75380546 0.01805592 0.04278239]]",(0.353956283269-0j)
26,26,The storm devastated the commercial flight. It was putting lives in peril.,0.7161641603350792,0.7161641603355153,-3.441330017633986,2.8646566413427386,"[[0.0097303  0.00505864 0.7212228  0.26398826]
 [0.00750127 0.00728767 0.16860845 0.81660261]
 [0.3322134  0.07072589 0.3987397  0.19832101]
 [0.1048963  0.29804299 0.07121342 0.52584729]]",(0.193944683348-0j)
