,Unnamed: 0,Sentence,CF,SF,CbD,DI,Violation,Distribution,Entropy
0,0,The knife scraped the school fence rapidly. It was enclosing the private property.,0.0592404197803535,0.0592404196262412,-1.3770704151813962,0.3260223820334654,1.5772864329080725,"[[0.02580701 0.10301005 0.15524012 0.71594283]
 [0.02312143 0.10569562 0.16493604 0.70624691]
 [0.0374529  0.17286975 0.14359423 0.64608313]
 [0.04263698 0.16768567 0.1454205  0.64425685]]",(0.934340571294+0j)
1,1,The resourceful sailors escaped off the boats. They were suffering structural damage.,0.8146803699654074,0.8146803699664841,-5.096986642789799,4.508092092774234,1.561556987055834,"[[0.44285484 0.07745136 0.39149923 0.08819457]
 [0.41547204 0.10483415 0.4171768  0.062517  ]
 [0.01672439 0.00294931 0.81762968 0.16269662]
 [0.01020459 0.00946911 0.82244426 0.15788204]]",(0.002689326028+0j)
2,2,The storm caused a delay for the morning flight. It was producing tornadoes.,0.3596772078411979,0.4157098073113926,-2.8759472895536105,2.2693932593997306,2.02165303568958,"[[0.27125092 0.0833191  0.29099021 0.35443976]
 [0.10987757 0.24469245 0.57389185 0.07153812]
 [0.30257133 0.02152088 0.2596698  0.41623798]
 [0.27075016 0.05334206 0.41301927 0.26288852]]",(0.236974489644-0j)
3,3,The lively birds chirped and ate the seeds. They were a sweet treat.,0.9336439008608708,0.9336439008687296,-6.015270654147405,5.569736650099022,1.5819709110206972,"[[1.33489036e-02 3.09771106e-03 7.98323643e-01 1.85229743e-01]
 [1.56260143e-02 8.20600380e-04 9.34464501e-01 4.90888841e-02]
 [2.86360275e-01 6.65220100e-02 5.25312272e-01 1.21805444e-01]
 [3.35305988e-01 1.75762967e-02 6.14784527e-01 3.23331878e-02]]",(0.013840548395-0j)
4,4,The sniper took aim the ruthless terrorist. He was a barbaric bomb maker.,0.507904691841458,0.5079046919013492,-3.407501572985841,2.1196943304294664,1.5820120553515795,"[[0.55469017 0.17917758 0.20119647 0.06493577]
 [0.71516871 0.01869905 0.2593334  0.00679884]
 [0.35265596 0.11394145 0.40323069 0.1301719 ]
 [0.45471225 0.01188517 0.51978986 0.01361273]]",(0.003816601519-0j)
5,5,The storm disrupted the commercial flight. It was causing flash floods.,0.7594828714117158,0.7594828714451318,-4.402742310816107,3.03793148578177,1.5914386515591246,"[[0.39045275 0.11491137 0.38467823 0.10995765]
 [0.24971521 0.25564891 0.22417256 0.27046332]
 [0.01230548 0.00334263 0.7628255  0.22152639]
 [0.0101867  0.00546141 0.46370107 0.52065082]]",(0.999921533192-0j)
6,6,The bold sailors dove off the boats. They were not sturdy.,0.5730504657647647,0.5730504657195672,-3.849509267775044,2.2922018631694834,1.5824195219861028,"[[0.19383968 0.33688362 0.1723226  0.29695411]
 [0.31486624 0.21585706 0.2785504  0.19072631]
 [0.00732242 0.01304375 0.35883986 0.62079398]
 [0.01208328 0.00828288 0.58133335 0.39830048]]",(0.019173476103-0j)
7,7,The winning sniper killed the dangerous terrorist. He was a barbaric dictator.,0.8356059118502248,0.8356059118506679,-6.579523433853224,5.9403279963254585,1.5819692795780438,"[[0.13523153 0.03062856 0.68010464 0.15403526]
 [0.15723644 0.00862365 0.79076939 0.04337052]
 [0.09164419 0.02075573 0.72369199 0.16390809]
 [0.10655552 0.00584441 0.84145032 0.04614976]]",(0.025998304567+0j)
8,8,The hardworking bee gathered pollen from the lovely flower. It was generating pollen.,0.6115120777333612,0.6115120777703295,-3.2998824691998387,2.4460483110817517,1.5831169665852425,"[[0.79399873 0.114912   0.07777158 0.01331769]
 [0.27298939 0.63592135 0.02440927 0.06668   ]
 [0.73365679 0.11073735 0.13811352 0.01749234]
 [0.24803977 0.59635437 0.04935888 0.10624698]]",(0.120076075465-0j)
9,9,The sailors abandoned the ill-designed boats. They were navigating poorly.,0.6767660461982996,0.6767660461973898,-3.394712576909609,2.435259179560554,1.5820065289854464,"[[0.07812833 0.63696568 0.03109818 0.25380781]
 [0.51349751 0.20159651 0.2045438  0.08036219]
 [0.01461485 0.11903041 0.09461166 0.77174308]
 [0.09598768 0.03765758 0.62205363 0.24430112]]",(0.851235205076-0j)
