,Sentence,CF,SF,CbD,DI,Violation,Distribution
0,The knife scraped the school fence rapidly. It was enclosing the private property.,0.8623980632465674,0.8623980632589198,-4.413863116991795,3.7220711513595823,1.583045071178002,"[[0.52409685 0.16722291 0.23534263 0.07333761]
 [0.67311367 0.01820608 0.30030432 0.00837593]
 [0.08470561 0.02631432 0.67473387 0.2142462 ]
 [0.10771862 0.00330131 0.86569937 0.0232807 ]]"
1,The resourceful sailors escaped off the boats. They were suffering structural damage.,0.5980422946131252,0.5980422947541364,-3.7384674804443168,2.6073502202021346,1.5819681940579282,"[[0.28570849 0.06611066 0.52637907 0.12180177]
 [0.33417915 0.01764    0.6156823  0.03249855]
 [0.61579712 0.14249519 0.19629045 0.04541725]
 [0.72027409 0.03801821 0.22958735 0.01212034]]"
2,The storm caused a delay for the morning flight. It was producing tornadoes.,0.7103401472905448,0.710340147698638,-4.840188814405917,3.528574701888095,1.577103255743518,"[[0.23904355 0.00823966 0.71857981 0.03413698]
 [0.14532271 0.10196049 0.44677465 0.30594214]
 [0.40374132 0.01655253 0.55388204 0.02582412]
 [0.25529748 0.16499636 0.33679989 0.24290627]]"
3,The lively birds chirped and ate the seeds. They were a sweet treat.,0.3539316641928061,0.3539316641930128,-2.296482018706142,1.4157266567716993,1.5556307142965244,"[[0.0646432  0.085235   0.26074081 0.589381  ]
 [0.00119567 0.14868253 0.03040988 0.81971192]
 [0.11189184 0.27364537 0.21349217 0.40097062]
 [0.00734788 0.37818934 0.02425767 0.59020511]]"
4,The sniper took aim the ruthless terrorist. He was a barbaric bomb maker.,0.6913577144771464,0.6913577144780877,-3.9214062105725853,2.765430857912986,1.5813320031939089,"[[0.13619682 0.36330993 0.1360738  0.36441945]
 [0.35351672 0.14599003 0.35505373 0.14543952]
 [0.00481284 0.0123999  0.26745779 0.71532947]
 [0.01217034 0.0050424  0.69640012 0.28638714]]"
5,The storm disrupted the commercial flight. It was causing flash floods.,0.7828910434024636,0.78289104341416,-4.3919703168640325,3.2084458300853327,1.5817776053561032,"[[0.12832038 0.08444105 0.47422861 0.31300996]
 [0.21179859 0.00096284 0.78385388 0.00338468]
 [0.35187138 0.2314572  0.25067762 0.1659938 ]
 [0.58079881 0.00252977 0.41485367 0.00181775]]"
6,The bold sailors dove off the boats. They were not sturdy.,0.5156778314270176,0.5156778314260573,-3.669508836315437,2.0627113257115783,1.5818868056602766,"[[0.54995261 0.33429974 0.07238763 0.04336002]
 [0.32533065 0.55892169 0.04324386 0.07250379]
 [0.37211375 0.22468772 0.25022649 0.15297204]
 [0.21958357 0.3772179  0.14899095 0.25420759]]"
7,The winning sniper killed the dangerous terrorist. He was a barbaric dictator.,0.4759773838366774,0.4759773839001923,-2.397817942048059,1.709651300113176,1.582326771967472,"[[0.00107124 0.01286639 0.08866565 0.89739672]
 [0.00333415 0.01060348 0.24626    0.73980237]
 [0.03852018 0.40283028 0.05121672 0.50743283]
 [0.11129271 0.33005775 0.13830145 0.42034809]]"
8,The hardworking bee gathered pollen from the lovely flower. It was generating pollen.,0.6384443681162774,0.638444368117291,-3.534745452612812,2.553777472471278,1.596920109246697,"[[0.72536204 0.13979103 0.12009238 0.01475455]
 [0.1887241  0.67642897 0.03798461 0.09686232]
 [0.6050636  0.10414452 0.24039082 0.05040106]
 [0.167719   0.54148912 0.0589897  0.23180218]]"
9,The sailors abandoned the ill-designed boats. They were navigating poorly.,0.8741861902721384,0.8741861902798901,-6.132416053481487,5.549488012987882,1.603036439288544,"[[0.22693584 0.66845777 0.0402959  0.06431049]
 [0.01991837 0.87547524 0.00128905 0.10331734]
 [0.20051402 0.57990353 0.06671771 0.15286473]
 [0.01599285 0.7644247  0.00521457 0.21436788]]"
