,Sentence,CF,SF,CbD,DI,Violation,Distribution
0,The knife scraped the school fence rapidly. It was enclosing the private property.,0.17544450418443358,0.1754445042122852,-1.6724758224644454,0.7017780168276507,1.690229941618696,"[[0.5424398  0.21968208 0.16930961 0.06856851]
 [0.65200684 0.11011504 0.20350834 0.03436978]
 [0.63145974 0.25573417 0.08028967 0.03251642]
 [0.75900786 0.12818606 0.09650732 0.01629877]]"
1,The skillful heart pushed muscle-oxygenating blood that nourished cells. It was a life-invigorating fluid.,0.4621036869918257,0.4621036871452864,-2.6119038663282863,1.8484147485811444,1.6968582398213385,"[[0.69639858 0.23750976 0.04928336 0.0168083 ]
 [0.90139471 0.03251363 0.06379071 0.00230095]
 [0.37513896 0.12794277 0.37054298 0.12637529]
 [0.48556715 0.01751458 0.47961827 0.0173    ]]"
2,The resourceful sailors escaped off the boats. They were suffering structural damage.,0.8885988758167163,0.8885988759857447,-4.617218246071195,3.5543955039429784,1.5848795361703478,"[[0.22776752 0.29676594 0.20646125 0.26900529]
 [0.50820158 0.01633188 0.4606624  0.01480414]
 [0.03485342 0.04541169 0.39937535 0.52035954]
 [0.07776597 0.00249914 0.89109801 0.02863688]]"
3,The storm caused a delay for the morning flight. It was producing tornadoes.,0.7757694736431409,0.7757694736422498,-4.3600084175364415,3.103077894573077,1.7074084189942003,"[[0.01766352 0.0044738  0.78024328 0.19761941]
 [0.0090945  0.01304282 0.40172769 0.57613499]
 [0.40198893 0.10181544 0.39591786 0.10027776]
 [0.20697402 0.29683036 0.20384817 0.29234745]]"
4,The heart pumped blood that maintained life. It was a blood-pressure-controlling liquid.,0.8361381675808095,0.8361381679716542,-4.211456514877101,3.3445526718866168,2.3205677962808915,"[[4.50431821e-01 2.25791500e-01 2.15667391e-01 1.08109288e-01]
 [6.73830114e-01 2.39320691e-03 3.22630808e-01 1.14587084e-03]
 [1.06790860e-01 5.35318940e-02 5.59308352e-01 2.80368894e-01]
 [1.59755360e-01 5.67394692e-04 8.36705563e-01 2.97168306e-03]]"
5,The lively birds chirped and ate the seeds. They were a sweet treat.,0.2940808487140323,0.29408084885033137,-1.89267227129693,1.3160150292888995,1.7352392471261464,"[[0.80844823 0.1445593  0.0398643  0.00712817]
 [0.87494157 0.07806597 0.04314306 0.00384941]
 [0.52935022 0.09465355 0.31896231 0.05703392]
 [0.57288827 0.0511155  0.34519635 0.03079987]]"
6,The sniper took aim the ruthless terrorist. He was a barbaric bomb maker.,0.9457670448653028,0.9457670448658856,-5.458808899205852,4.903739222225752,1.5816405551868788,"[[3.92807778e-01 1.09316463e-01 3.89484224e-01 1.08391534e-01]
 [4.81495968e-01 2.06282736e-02 4.77422021e-01 2.04537374e-02]
 [1.02878784e-02 2.86306571e-03 7.72004124e-01 2.14844932e-01]
 [1.26106769e-02 5.40267231e-04 9.46307312e-01 4.05417438e-02]]"
7,The storm disrupted the commercial flight. It was causing flash floods.,0.24309006983980297,0.24309006975701664,-2.6183220916685843,1.3594268117659951,1.9148678228043166,"[[0.11202258 0.28880546 0.16745532 0.43171664]
 [0.12187634 0.2789517  0.18218507 0.41698689]
 [0.01704014 0.04393119 0.26243776 0.67659091]
 [0.01853903 0.0424323  0.28552237 0.65350629]]"
8,The bold sailors dove off the boats. They were not sturdy.,0.6870266323662978,0.6870266323676427,-3.5509636375048235,2.622723857873563,1.6093624449456967,"[[0.06126982 0.47226247 0.05356825 0.41289946]
 [0.38734855 0.14618374 0.33865915 0.12780856]
 [0.00807619 0.06225055 0.10676189 0.82291138]
 [0.05105775 0.01926898 0.67494995 0.25472332]]"
9,The winning sniper killed the dangerous terrorist. He was a barbaric dictator.,0.37417780467729933,0.37417780467729933,-2.0802542994157855,1.5078750296623056,1.5671737538451502,"[[0.45772127 0.12653019 0.32571069 0.09003784]
 [0.5599637  0.02428776 0.39846557 0.01728297]
 [0.75305065 0.20816957 0.03038132 0.00839846]
 [0.92126159 0.03995863 0.03716767 0.0016121 ]]"
